St_label,Angle
Lexington Avenue,36.29262973
Madison Avenue,-67.08044517
Mulberry Street,21.52260011
Second Avenue,-66.52260011
Third Avenue,-66.61477894
York Avenue,36.29262973
57th Street,-67.10013347
60th Street,-66.61477894
Fifth Avenue,36.32682595
First Avenue,36.13537661
Park Avenue,-65.00430363
50th Street,-66.97450799
72nd Street,-67.35087266
Amsterdam Avenue,35.3802722
Broadway,14.93141718
Columbus Avenue,-66.65381636
Columbus Circle,-67.456939
79th Street,-67.69379495
86th Street,-67.41268947
29th Street,-66.83256543
20th Street,-67.47265944
Delancey Street,-73.30075577
4th Street,-63.86358756
SixthAvenue,-67.0112832
Franklin Street,39.01940048
White Street,-65.55604522
Walker Street,-65.44010896
Leonard Street,-64.86056761
46th Street,-66.37062227
Clinton Street,27.51200262
Suffolk Street,27.53607311
Hudson Street,11.00354086
Lafayette Street,39.80557109
Horatio Street,0
Sullivan Street,39.90260026
3rd Street,-64.14445781
Wall Street,27.51200262
28th Street,-66.75272999
Water Street,76.3423575
47th Street,-67.38013505
Avenue C,-67.24236368
Avenue A,35.7066914
Mac Dougal Street,40.06078446
St Nicholas Avenue,0.806929453
2nd Street,-66.50143432
5th Street,-67.10013347
6th Street,-67.10013347
7th Street,-67.27589785
Fort Washington Avenue,-69.51298581
187th Street,-69.51298581
Pinehurst Avenue,16.97549947
207th Street,-32.88123966
Seventh Avenue,36.55247275
Ninth Avenue,35.97238705
Tenth Avenue,35.80334411
Eighth Avenue,-67.09423034
University Place,41.2570117
Fourth Avenue,1.245364271
West 225th Street,-65.11672517
Bleeker Street,-32.19573394
Church Street,-65.16483244
42nd Street,-68.01475442
125th Street,-66.91486633
Chrystie Street,26.56505118
55th Street,-67.28558765
44th Street,-67.25390529
Gansevoort Street,5.599339342
East 28th Street,-67.27850185
61st Street,-67.08044517
Greenwich Avenue,-29.44542873
Essex Street,27.15979569
Ludlow Street,26.89623697
Stanton Street,-73.30075577
33rd Street,-67.28558765
59th Street,-67.16634582
22nd Street,-67.10273688
East 124th Street,-66.92958775
116th Street,-67.08044517
124th Street,-67.16634582
111th Street,-67.27850185
110th Street,-68.00259659
Pleasant Avenue,37.2781742
Norfolk Street,27.1496817
Spring Street,-64.59228189
Grand Street,-64.47030201
Prince Street,-63.43494882
Bond Street,-64.09986032
Maiden Lane,46.60600299
Nassau Street,58.15094868
34th Street,-67.27026792
23rd Street,-66.88233568
Washington Street,-84.74619725
Avenue B,36.86989765
Pine Street,43.42344994
Union Square,-66.87347961
Greenwich Street,1.041626673
Leroy Street,-84.72610404
Chambers Street,-65.68069139
Christopher Street,82.61395685
Ridge Street,26.95217893
Eighth Street,-66.88579202
St Marks Place,-66.37062227
14th Street,-67.23499089
56th Street,-67.19350451
Fulton Street,-63.26288994
West Broadway,40.20016388
Canal Street,-25.82099198
Pitt Street,25.78290482
Duane Street,-65.22485943
Hester Street,-73.49563862
Broome Street,-68.07041225
Howard Street,-65.22485943
Mott Street,-71.14684124
Greene Street,40.81508388
Bowery,-68.74949449
Rivington Street,-73.30075576
Crosby Street,40.29794458
Elizabeth Street,22.85876188
12th Street,-66.45996073
Thirteenth Street,-67.26058222
Varick Street,10.40771131
Orchard Street,27.15979569
Houston Street,-69.95475057
Thompson Street,40.30508572
Broad Street,15.36608521
John Street,-57.61932229
Allen Street,21.80140949
Eleventh Avenue,35.53767779
Seaport,53.44752725
Beekman Street,-35.16643604
Front Street,63.01976928
Peck Slip,-44.39690881
Cooper Square,35.43331401
Attorney Street,27.1496817
Battery Place,0
Baxter Street,31.71513352
Bedford Street,-28.44292862
Dey Street,-65.36160327
Vesey Street,-66.86053824
Cortlandt Street,-64.75402644
Grove Street,72.28420729
181st Street,-67.00069835
Avenue D,-66.80140949
9th Street,-67.00510109
48th Street,-66.17905169
49th Street,-64.05770451
10th Street,81.17962045
Wooster Street,38.05901657
Mercer Street,40.40574667
17th Street,-66.91068293
18th Street,-67.38013505
15th Street,-67.35518045
16th Street,-67.18196626
19th Street,-66.93538223
96th Street,35.77607772
East 86th Street,-67.43299092
Irving Place,36.55247275
Rockefeller Plaza,36.86989764
Vanderbilt Avenue,37.56859203
Eldridge Street,26.95217893
Astor Place,-80.53767779
21st Street,-66.94869908
51st Street,-66.80140949
85th Street,-67.31347332
Battery Park City,21.80140949
11th Street,81.20258929
Perry Street,81.78079075
Bank Street,83.3106846
West Street,4.714754517
Charles Street,81.86989765
West End Avenue,35.45547444
Worth Street,-65.01876039
Reade Street,-65.19980662
Federal Plaza,22.20347853
Centre Street,36.86989764
Warren Street,-65.40422846
106th Street,-67.06789956
106th Strett,-67.03622694
73rd Street,-67.10273688
Watts Street,-80.15886824
Sixth Avenue,-1.397181024
Vestry Street,-84.59620864
Desbrosses Street,-83.78817797
Laight Street,-84.21760768
Great Jones Street,-64.65382406
Forsyth Street,26.8109543
Battery City Park,-72.89727103
13th Street,-67.13866002
Kenmare Street,-71.56505118
Cleveland Place,18.43494882
Pearl Street,77.09259133
43rd Street,-67.29507606
45th Street,-67.16634583
52nd Street,-65.71417484
53rd Street,-67.26206914
54th Street,-67.470602
Battery Park Place,86.63353934
South End Avenue,34.64094751
River Terrace,15.42216132
North End Avenue,-83.49437336
Murray Street,-83.49437336
King Street,-85.23635831
Orange Nails (2nd Floor),-67.40744476
Trinity Place,-66.37062227
83rd Street,-66.97450799
64th Street,-67.21759427
65th Street,-66.54097592
66th Street,-67.27026792
67th Street,-67.27850185
68th Street,-66.97450799
